,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
584,"And when CDC released the statement about aerosol transmission, they were very careful to say This doesn't appear to be the same kind of aerosol transmission that we see with TB or measles or varicella.",cdc release statement aerosol transmission careful say appear kind aerosol transmission see tb measle varicella,"[cdc, release, statement, aerosol, transmission, careful, say, appear, kind, aerosol, transmission, see, tb, measle, varicella]",cdc release statement aerosol transmission careful say appear kind aerosol transmission see tb measle varicella,"['cdc', 'release', 'statement', 'aerosol', 'transmission', 'careful', 'appear', 'kind', 'aerosol', 'transmission', 'tb', 'measle', 'varicella']",10
585,"Um, it's more of a limited aerosol transmission, So it's still thought that droplet at close person to person droplets spread is the primary way that the infections being transmitted.",um limited aerosol transmission still think droplet close person person droplet spread primary way infection transmit,"[um, limited, aerosol, transmission, still, think, droplet, close, person, person, droplet, spread, primary, way, infection, transmit]",um limited aerosol transmission still think droplet close person person droplet spread primary way infection transmit,"['limited', 'aerosol', 'transmission', 'still', 'droplet', 'close', 'person', 'person', 'droplet', 'spread', 'primary', 'way', 'infection', 'transmit']",6
586,"Thank you Marla, back to you Johana.",thank marla back johana,"[thank, marla, back, johana]",thank marla back johana,"['marla', 'back', 'johana']",1
587,Great.,great,[great],great,['great'],11
588,I'm just I'm wondering Karissa and Cecilia.,wonder karissa cecilia,"[wonder, karissa, cecilia]",wonder karissa cecilia,"['wonder', 'karissa', 'cecilia']",3
589,I'm wondering if you have any comments related to any of the these testing questions or anything else.,wonder comment relate testing question anything else,"[wonder, comment, relate, testing, question, anything, else]",wonder comment relate testing question anything else,"['wonder', 'comment', 'relate', 'testing', 'question', 'anything', 'else']",6
590,We just have a couple minutes left.,couple minute leave,"[couple, minute, leave]",couple minute leave,"['couple', 'minute', 'leave']",2
591,"And you, uh, wanted to see if you'd like to add anything to today's session.",uh want see would like add anything today session,"[uh, want, see, would, like, add, anything, today, session]",uh want see would like add anything today session,"['want', 'would', 'add', 'anything', 'today', 'session']",2
592,"Uh, no, I don't have anything to add.",uh anything add,"[uh, anything, add]",uh anything add,"['anything', 'add']",6
593,Happy to have a quiet testing day?,happy quiet testing day,"[happy, quiet, testing, day]",happy quiet testing day,"['happy', 'quiet', 'testing', 'day']",0
594,"Um, maybe just the one thing is that there's not currently any FDA approved or you a authorized test for the sub genomic RNA that Nestor was mentioning.",um maybe one thing currently fda approve authorized test sub genomic rna nestor mention,"[um, maybe, one, thing, currently, fda, approve, authorized, test, sub, genomic, rna, nestor, mention]",um maybe one thing currently fda approve authorized test sub genomic rna nestor mention,"['maybe', 'currently', 'fda', 'approve', 'authorized', 'test', 'sub', 'genomic', 'rna', 'nestor', 'mention']",11
595,Although there are some that are in various processes of development and submission.,although various process development submission,"[although, various, process, development, submission]",although various process development submission,"['although', 'various', 'process', 'development', 'submission']",10
596,"So, um, that may come to light at some point in the near future, or let's nothing near future some point in the future.",um may come light point near future let us nothing near future point future,"[um, may, come, light, point, near, future, let, us, nothing, near, future, point, future]",um may come light point near future let us nothing near future point future,"['may', 'come', 'light', 'point', 'near', 'future', 'let', 'us', 'nothing', 'near', 'future', 'point', 'future']",7
597,"Um, but for now, we'll rely on the CDC guidance for how to determine went to remove isolation.",um rely cdc guidance determine go remove isolation,"[um, rely, cdc, guidance, determine, go, remove, isolation]",um rely cdc guidance determine go remove isolation,"['rely', 'cdc', 'guidance', 'determine', 'remove', 'isolation']",0
599,Great.,great,[great],great,['great'],11
601,"Karissa, we really appreciate your presence here.",karissa really appreciate presence,"[karissa, really, appreciate, presence]",karissa really appreciate presence,"['karissa', 'appreciate', 'presence']",3
602,I just wanted to let everybody know we have about a minute left.,want let everybody know minute left,"[want, let, everybody, know, minute, left]",want let everybody know minute left,"['want', 'let', 'everybody', 'minute', 'left']",1
603,We still have the weekly first responder Resiliency Echo.,still weekly first responder resiliency echo,"[still, weekly, first, responder, resiliency, echo]",still weekly first responder resiliency echo,"['still', 'weekly', 'first', 'responder', 'resiliency', 'echo']",8
604,That's on Mondays at two o'clock Mountain Time.,monday two clock mountain time,"[monday, two, clock, mountain, time]",monday two clock mountain time,"['monday', 'two', 'clock', 'mountain', 'time']",5
605,If you need information Maybe can't.,need information maybe,"[need, information, maybe]",need information maybe,"['need', 'information', 'maybe']",9
606,You could put in the information about the first responder resiliency.,could put information first responder resiliency,"[could, put, information, first, responder, resiliency]",could put information first responder resiliency,"['could', 'put', 'information', 'first', 'responder', 'resiliency']",9
607,"Echo If if Kent, our digital library in can't get that momentarily, it's always on our project Echo, website and then the 1st and 3rd.",echo kent digital library get momentarily always project echo website st rd,"[echo, kent, digital, library, get, momentarily, always, project, echo, website, st, rd]",echo kent digital library get momentarily always project echo website st rd,"['echo', 'kent', 'digital', 'library', 'get', 'momentarily', 'always', 'project', 'echo', 'website', 'st', 'rd']",1
608,I think it's the 1st and 3rd Thursdays from 8 to 9 Mountain time.,think st rd thursday mountain time,"[think, st, rd, thursday, mountain, time]",think st rd thursday mountain time,"['st', 'rd', 'thursday', 'mountain', 'time']",11
609,We're still having the critical care echo with doctor Michelle Harkins.,still critical care echo doctor michelle harkins,"[still, critical, care, echo, doctor, michelle, harkins]",still critical care echo doctor michelle harkins,"['still', 'critical', 'care', 'echo', 'doctor', 'michelle', 'harkins']",8
610,"It's not this week, but it will be next week.",week next week,"[week, next, week]",week next week,"['week', 'next', 'week']",11
611,"Carl, is that correct?",carl correct,"[carl, correct]",carl correct,"['carl', 'correct']",0
612,"Um, I think it's this week, isn't it?",um think week,"[um, think, week]",um think week,['week'],11
615,"Yeah, and actually, it's going to be Donna upset.",yeah actually go donna upset,"[yeah, actually, go, donna, upset]",yeah actually go donna upset,"['donna', 'upset']",0
616,It's gonna be talking about COVID-19.,go talk covid,"[go, talk, covid]",go talk covid,"['talk', 'covid']",9
618,I thinks I can't remember.,think remember,"[think, remember]",think remember,['remember'],6
619,"I don't know, Elaine, if you have the title of her talk, it's COVID-19 and air pollution on air pollution.",know elaine title talk covid air pollution air pollution,"[know, elaine, title, talk, covid, air, pollution, air, pollution]",know elaine title talk covid air pollution air pollution,"['elaine', 'title', 'talk', 'covid', 'air', 'pollution', 'air', 'pollution']",6
